"","Var1","Freq"
"10224","MIS MEJORES AMIGOS",17
"10292","MONSTRUOS EL MUSICAL",16
"10324","MORIR O NO MORIR",24
"10328","MORRITZ Y EL PEQUEÑO MONS",18
"10378","MUERTE SUBITA",25
"10392","MUJC Y LOS NIÑOS DEL BOSQUE DE LA NIEVE",31
"10395","MUJER ES ASUNTO DE HOMBRES",21
"10396","MUJERES CON AURA",19
"10397","MUJERES DE CENIZA",50
"10401","MUJERES SIN CUELLO",39
"10438","MUSICA DE CAMARA",78
"10475","MUSICA DE CAMARA PROG 5",16
"10518","MUSICA PARA LOS OJOS",23
"10560","MY LITTLE PONY",16
"10576","MYST MY SOUNDTRACK",17
"10577","MYST MY SOUNDTRACK MAYORES EDAD",21
"10581","MYST MY SOUNDTRACK TOUCHING ME",47
"10585","MYST MY SOUNDTRACK TOUCHING ME MAYORES",32
"10587","MYST MY SOUNDTRACK TOUCHING ME TOUCHING YOU",29
"10589","MYST TOUCHING ME",24
"10622","NATALIA LAFOURCADE",27
"10628","NATIONAL PASTIME",28
"10779","NEGACION",26
"10792","NERIUM PARK",42
"10800","NEVA",26
"10839","NI MUY ALLA NI MUY ACA",21
"10849","NIÑO PERDIDO",50
"10854","NI O PERDIDO",26
"10864","NOCHE DE ESTRENO",32
"10869","NOCHE DE REYES",46
"10883","NOCHES CON LAPSUS",21
"10890","NOCHES DE STAND UP",98
"10905","NO FUE PRECISAMENTE BERNARDETTE",20
"10907","NO IDENTIFICADO",69
"10924","NORA CIERRA LA PUERTA",17
"10925","NORMAL EL MUSICAL",17
"10940","NO SE ELIGE SER UN HEROE",62
"10942","NO SERE FELIZ PERO TENGO MARIDO",96
"10962","NO TOCAR",19
"11004","NUMANCIA",28
"11007","NUNCA ES TARDE PARA APRENDER FRANCES",44
"11086","ODYSSEO BY CAVALIA",33
"11109","OJALA Y EL AMOR BASTARA",21
"11122","OLEANNA",33
"11142","OMBLIGOS BRILLANTES",22
"11147","OMNIS BESTIA",20
"11348","OREGANO",18
"11555","ORQUESTA FILARMONICA",44
"11559","ORQUESTA FILARMONICA DE ACAPULCO",25
"11563","ORQUESTA FILARMONICA DE JALISCO",35
